,MAE,RMSE,Model,Dataset,Type
0,4.275564962988889,5.40987529813342,Elastic Net,Alcohol,Idiographic
1,19.98264020098459,25.121644850620463,Elastic Net,Alcohol,Idiographic
2,11.27480889087989,14.611059622030709,Elastic Net,Alcohol,Idiographic
3,4.938017286921729,6.270364714234096,Elastic Net,Alcohol,Idiographic
4,12.360308379176406,14.635150104052045,Elastic Net,Alcohol,Idiographic
5,12.741443365213362,15.778687070350802,Elastic Net,Alcohol,Idiographic
6,15.73985721846952,23.64731456734435,Elastic Net,Alcohol,Idiographic
7,11.471429259427357,19.748055458781305,Elastic Net,Alcohol,Idiographic
8,11.894314260851369,14.67190679216407,Elastic Net,Alcohol,Idiographic
9,6.491924464907625,8.518823491701637,Elastic Net,Alcohol,Idiographic
10,20.136326414377116,25.71092618758196,Elastic Net,Alcohol,Idiographic
11,6.022717761457693,7.571803715167403,Elastic Net,Alcohol,Idiographic
12,2.205086638368252,2.39386091836104,Elastic Net,Alcohol,Idiographic
13,11.839285714285714,11.94892404002493,Elastic Net,Alcohol,Idiographic
14,23.99255952380952,42.94932175186912,Elastic Net,Alcohol,Idiographic
15,19.071428571428573,22.58871399615304,Elastic Net,Alcohol,Idiographic
16,5.580983606557377,6.921421747807205,Elastic Net,Alcohol,Idiographic
17,9.738596491228073,12.068155897919434,Elastic Net,Alcohol,Idiographic
18,14.620276171191218,20.06796961932228,Elastic Net,Alcohol,Idiographic
19,5.965763966830165,7.156058901184884,Elastic Net,Alcohol,Idiographic
20,9.44340095364296,11.866039090488794,Elastic Net,Alcohol,Idiographic
21,21.660482568677946,26.77321264166579,Elastic Net,Alcohol,Idiographic
22,5.172413793103448,5.172413793103448,Elastic Net,Alcohol,Idiographic
23,14.843320548579602,18.17989441783325,Elastic Net,Alcohol,Idiographic
24,2.2602388854030746,7.2321367344221565,Elastic Net,Alcohol,Idiographic
25,12.217138677897784,15.642677959803752,Elastic Net,Alcohol,Idiographic
26,9.79542914066684,12.90010017392444,Elastic Net,Alcohol,Idiographic
27,13.906580114815632,19.583829997259944,Elastic Net,Alcohol,Idiographic
28,4.258040613081981,5.322741836448344,SVM,Alcohol,Idiographic
29,18.79847651158498,23.710883073286727,SVM,Alcohol,Idiographic
30,12.378688945091652,15.123900599589728,SVM,Alcohol,Idiographic
31,4.90247362048925,6.373599569891386,SVM,Alcohol,Idiographic
32,10.964676141389734,13.595579876389092,SVM,Alcohol,Idiographic
33,10.923924310280851,13.38998749226982,SVM,Alcohol,Idiographic
34,17.18671747039639,23.66535975093746,SVM,Alcohol,Idiographic
35,10.952038616587544,18.745419235310816,SVM,Alcohol,Idiographic
36,12.505419368424944,15.578780907234323,SVM,Alcohol,Idiographic
37,7.112452956188171,8.800496385170305,SVM,Alcohol,Idiographic
38,18.64417598058493,24.69722208285261,SVM,Alcohol,Idiographic
39,6.370532768844421,8.338583566885443,SVM,Alcohol,Idiographic
40,1.83541069189102,2.195742595290212,SVM,Alcohol,Idiographic
41,8.532285520765617,9.01818792796022,SVM,Alcohol,Idiographic
42,25.18686428100896,42.270603186532405,SVM,Alcohol,Idiographic
43,17.753831211394488,21.623117573427773,SVM,Alcohol,Idiographic
44,4.675346562966987,5.517801547027716,SVM,Alcohol,Idiographic
45,6.080683210260375,9.716205171008363,SVM,Alcohol,Idiographic
46,14.072609854838602,19.494635580022557,SVM,Alcohol,Idiographic
47,6.077066518813558,7.102327048578578,SVM,Alcohol,Idiographic
48,8.182857581108806,10.872969299026437,SVM,Alcohol,Idiographic
49,22.78607064620156,27.750529473646427,SVM,Alcohol,Idiographic
50,3.7650375173321815,4.006331849354172,SVM,Alcohol,Idiographic
51,10.124700684251003,12.900267755685226,SVM,Alcohol,Idiographic
52,2.723246267741936,7.384396380230581,SVM,Alcohol,Idiographic
53,10.288662311308707,14.26789085102889,SVM,Alcohol,Idiographic
54,9.76710779585077,13.340843727579816,SVM,Alcohol,Idiographic
55,14.167694567268484,20.02907233174138,SVM,Alcohol,Idiographic
56,3.957234480582428,5.330674099621945,XGBoost,Alcohol,Idiographic
57,23.659265282145533,28.594755713418728,XGBoost,Alcohol,Idiographic
58,12.4955318724528,16.363756009213013,XGBoost,Alcohol,Idiographic
59,4.070888964313931,5.441139252176315,XGBoost,Alcohol,Idiographic
60,14.016887620562237,15.254947482061626,XGBoost,Alcohol,Idiographic
61,8.925080639259338,12.021893494810278,XGBoost,Alcohol,Idiographic
62,19.777087711752063,30.43084564841521,XGBoost,Alcohol,Idiographic
63,11.027473452071815,17.53274943690428,XGBoost,Alcohol,Idiographic
64,12.59589964164098,14.19140150497338,XGBoost,Alcohol,Idiographic
65,1.8850722356493124,2.359963729674434,XGBoost,Alcohol,Idiographic
66,21.14393601803137,24.930383985194776,XGBoost,Alcohol,Idiographic
67,6.570498091951479,8.141310010960078,XGBoost,Alcohol,Idiographic
68,2.568673005228044,3.1854072782732152,XGBoost,Alcohol,Idiographic
69,9.82873758614082,10.198591953678289,XGBoost,Alcohol,Idiographic
70,24.457484955461123,42.2582638194105,XGBoost,Alcohol,Idiographic
71,18.250233580384933,21.377344205533625,XGBoost,Alcohol,Idiographic
72,5.642360672346496,6.433106053813857,XGBoost,Alcohol,Idiographic
73,9.70578617129492,12.695616393561062,XGBoost,Alcohol,Idiographic
74,15.224049624794691,19.563549872549245,XGBoost,Alcohol,Idiographic
75,6.80156761585269,7.935763377146632,XGBoost,Alcohol,Idiographic
76,7.243691411120587,10.766821837590228,XGBoost,Alcohol,Idiographic
77,19.28526698544563,24.571224106867056,XGBoost,Alcohol,Idiographic
78,17.3148077691172,22.67201396457555,XGBoost,Alcohol,Idiographic
79,14.403386366994756,18.48744887060816,XGBoost,Alcohol,Idiographic
80,2.690765556804805,7.259322723893511,XGBoost,Alcohol,Idiographic
81,10.57552770066308,14.25007263526487,XGBoost,Alcohol,Idiographic
82,8.847607428377325,11.84106783347525,XGBoost,Alcohol,Idiographic
83,14.084473194954334,19.021503795970947,XGBoost,Alcohol,Idiographic
84,3.485522751322752,5.240119374983848,RF,Alcohol,Idiographic
85,20.14191023535851,22.95637449140193,RF,Alcohol,Idiographic
86,13.017535324494784,16.89790933194565,RF,Alcohol,Idiographic
87,7.038551249778372,8.463298268521811,RF,Alcohol,Idiographic
88,22.508333333333336,25.05756797781786,RF,Alcohol,Idiographic
89,9.573337709595084,12.238930334887357,RF,Alcohol,Idiographic
90,21.89127873977874,26.98321306051202,RF,Alcohol,Idiographic
91,13.23250245721628,19.89075530071577,RF,Alcohol,Idiographic
92,10.651438340641324,12.882775429996151,RF,Alcohol,Idiographic
93,1.8643932998662804,2.3565967695266297,RF,Alcohol,Idiographic
94,17.75703703703704,23.993336523519694,RF,Alcohol,Idiographic
95,8.337391552891551,9.415652413887416,RF,Alcohol,Idiographic
96,4.265175115207374,5.304415624296471,RF,Alcohol,Idiographic
97,11.090975893582302,12.527950896052063,RF,Alcohol,Idiographic
98,26.22890370888786,41.7024316015837,RF,Alcohol,Idiographic
99,18.234667091726724,21.50346969143495,RF,Alcohol,Idiographic
100,6.266486750671972,7.563353023471904,RF,Alcohol,Idiographic
101,9.33333333333333,12.355781372836494,RF,Alcohol,Idiographic
102,15.859812855183224,20.117574415218083,RF,Alcohol,Idiographic
103,7.186933026372385,8.712219263049077,RF,Alcohol,Idiographic
104,8.363484527213666,11.594406300476068,RF,Alcohol,Idiographic
105,15.125490196078433,19.4225325650861,RF,Alcohol,Idiographic
106,5.1374494256651415,5.680713205972629,RF,Alcohol,Idiographic
107,10.52658327305302,12.876379351225328,RF,Alcohol,Idiographic
108,2.5051843778922875,7.268647604358471,RF,Alcohol,Idiographic
109,10.454001445933336,13.71299710316905,RF,Alcohol,Idiographic
110,7.965909090909091,10.845584471352964,RF,Alcohol,Idiographic
111,13.84727272727273,17.734301636812614,RF,Alcohol,Idiographic
112,3.899467507206154,5.53362026735062,3-Layer LSTM,Alcohol,Idiographic
113,20.769075486487026,26.9767694616957,3-Layer LSTM,Alcohol,Idiographic
114,10.895261704830627,13.80259488606275,3-Layer LSTM,Alcohol,Idiographic
115,3.9696226590608665,5.988776474137928,3-Layer LSTM,Alcohol,Idiographic
116,11.355266748566468,14.308158105579922,3-Layer LSTM,Alcohol,Idiographic
117,10.48169750285938,13.58527632925652,3-Layer LSTM,Alcohol,Idiographic
118,16.95037044279302,29.559303786207675,3-Layer LSTM,Alcohol,Idiographic
119,11.376958197781018,20.82357115037765,3-Layer LSTM,Alcohol,Idiographic
120,12.466826815160116,15.179801741886562,3-Layer LSTM,Alcohol,Idiographic
121,1.3128817546388245,2.392903903005738,3-Layer LSTM,Alcohol,Idiographic
122,20.94385087257555,27.29272008280029,3-Layer LSTM,Alcohol,Idiographic
123,6.16353394252254,9.870561278243525,3-Layer LSTM,Alcohol,Idiographic
124,1.9578686434627468,2.513515312784566,3-Layer LSTM,Alcohol,Idiographic
125,5.451462596596117,7.724581639576248,3-Layer LSTM,Alcohol,Idiographic
126,24.079024218086754,44.24741721014194,3-Layer LSTM,Alcohol,Idiographic
127,18.40990156190736,22.36328934284363,3-Layer LSTM,Alcohol,Idiographic
128,7.686411621523742,8.718119897755304,3-Layer LSTM,Alcohol,Idiographic
129,9.417128653791094,12.088950029241872,3-Layer LSTM,Alcohol,Idiographic
130,14.72940477229145,19.300319095116805,3-Layer LSTM,Alcohol,Idiographic
131,6.432119647188425,8.899053612536585,3-Layer LSTM,Alcohol,Idiographic
132,7.0152820392245125,10.798743314944833,3-Layer LSTM,Alcohol,Idiographic
133,20.60969854681749,26.19364527469493,3-Layer LSTM,Alcohol,Idiographic
134,0.594149410568754,1.19719156539185,3-Layer LSTM,Alcohol,Idiographic
135,9.224349674425628,11.562247849557414,3-Layer LSTM,Alcohol,Idiographic
136,2.277106130331003,7.522180147726888,3-Layer LSTM,Alcohol,Idiographic
137,10.069855373894857,14.227612415684955,3-Layer LSTM,Alcohol,Idiographic
138,10.616449793970045,13.64342444045523,3-Layer LSTM,Alcohol,Idiographic
139,15.518351183933952,22.31005406536824,3-Layer LSTM,Alcohol,Idiographic
140,4.058677533729725,5.588839068278753,1-Layer LSTM,Alcohol,Idiographic
141,21.23398718732222,26.992119485932093,1-Layer LSTM,Alcohol,Idiographic
142,11.73681645023336,14.550817226644376,1-Layer LSTM,Alcohol,Idiographic
143,3.830695411020385,5.506906171821089,1-Layer LSTM,Alcohol,Idiographic
144,12.472363133702595,14.749171066978011,1-Layer LSTM,Alcohol,Idiographic
145,9.823489513907756,12.333556351504278,1-Layer LSTM,Alcohol,Idiographic
146,17.990141073195918,30.422709711055727,1-Layer LSTM,Alcohol,Idiographic
